step,time,k_before,k_after
0,0,446020,446020
1,0.01,445853,445853
2,0.02,445352,445352
3,0.03,444517,444517
4,0.04,443350,443350
5,0.05,441853,441853
6,0.06,440026,440026
7,0.07,437873,437873
8,0.08,435396,435396
9,0.09,432598,432598
10,0.1,429483,429483
11,0.11,426055,426054
12,0.12,422317,422317
13,0.13,418274,418274
14,0.14,413933,413932
15,0.15,409297,409297
16,0.16,404372,404372
17,0.17,399166,399166
18,0.18,393684,393684
19,0.19,387932,387932
20,0.2,381919,381919
21,0.21,375651,375651
22,0.22,369136,369136
23,0.23,362382,362382
24,0.24,355398,355398
25,0.25,348190,348190
26,0.26,340769,340769
27,0.27,333144,333144
28,0.28,325322,325322
29,0.29,317315,317314
30,0.3,309130,309130
31,0.31,300778,300778
32,0.32,292268,292268
33,0.33,283611,283611
34,0.34,274817,274817
35,0.35,265895,265895
36,0.36,256856,256856
37,0.37,247710,247710
38,0.38,238468,238468
39,0.39,229140,229140
40,0.4,219736,219736
41,0.41,210267,210267
42,0.42,200743,200743
43,0.43,191175,191175
44,0.44,181572,181572
45,0.45,171946,171946
46,0.46,162306,162306
47,0.47,152662,152662
48,0.48,143025,143025
49,0.49,133405,133405
50,0.5,123810,123810
51,0.51,114252,114252
52,0.52,104738,104739
53,0.53,95279.7,95279.7
54,0.54,85884.5,85884.5
55,0.55,76561.9,76561.9
56,0.56,67320.5,67320.5
57,0.57,58168.8,58168.9
58,0.58,49115.1,49115.2
59,0.59,40167.4,40167.4
60,0.6,31333.4,31333.4
61,0.61,22620.6,22620.7
62,0.62,14036.3,14036.3
63,0.63,5587.26,5587.29
64,0.64,-2719.72,-2719.7
65,0.65,-10878.3,-10878.3
66,0.66,-18882.5,-18882.5
67,0.67,-26726.5,-26726.5
68,0.68,-34404.9,-34404.9
69,0.69,-41912.5,-41912.5
70,0.7,-49244.6,-49244.6
71,0.71,-56396.7,-56396.7
72,0.72,-63364.6,-63364.6
73,0.73,-70144.5,-70144.5
74,0.74,-76733,-76733
75,0.75,-83126.9,-83126.8
76,0.76,-89323.3,-89323.2
77,0.77,-95319.7,-95319.7
78,0.78,-101114,-101114
79,0.79,-106705,-106705
80,0.8,-112090,-112090
81,0.81,-117268,-117268
82,0.82,-122239,-122239
83,0.83,-127003,-127003
84,0.84,-131558,-131558
85,0.85,-135905,-135905
86,0.86,-140045,-140045
87,0.87,-143977,-143977
88,0.88,-147704,-147704
89,0.89,-151226,-151226
90,0.9,-154545,-154545
91,0.91,-157664,-157664
92,0.92,-160583,-160583
93,0.93,-163305,-163305
94,0.94,-165834,-165834
95,0.95,-168171,-168171
96,0.96,-170320,-170320
97,0.97,-172285,-172285
98,0.98,-174068,-174068
99,0.99,-175674,-175674
100,1,-177106,-177106
101,1.01,-178369,-178369
102,1.02,-179466,-179466
103,1.03,-180403,-180403
104,1.04,-181183,-181183
105,1.05,-181812,-181812
106,1.06,-182294,-182294
107,1.07,-182634,-182634
108,1.08,-182837,-182837
109,1.09,-182909,-182909
110,1.1,-182854,-182854
111,1.11,-182678,-182678
112,1.12,-182385,-182385
113,1.13,-181982,-181982
114,1.14,-181474,-181474
115,1.15,-180866,-180866
116,1.16,-180164,-180164
117,1.17,-179372,-179372
118,1.18,-178497,-178497
119,1.19,-177543,-177543
120,1.2,-176516,-176516
121,1.21,-175422,-175422
122,1.22,-174265,-174265
123,1.23,-173050,-173050
124,1.24,-171783,-171783
125,1.25,-170469,-170469
126,1.26,-169112,-169112
127,1.27,-167718,-167718
128,1.28,-166290,-166290
129,1.29,-164835,-164835
130,1.3,-163355,-163355
131,1.31,-161855,-161855
132,1.32,-160340,-160340
133,1.33,-158814,-158814
134,1.34,-157280,-157280
135,1.35,-155742,-155742
136,1.36,-154204,-154204
137,1.37,-152669,-152669
138,1.38,-151141,-151141
139,1.39,-149622,-149622
140,1.4,-148115,-148115
141,1.41,-146624,-146624
142,1.42,-145150,-145151
143,1.43,-143697,-143697
144,1.44,-142266,-142266
145,1.45,-140859,-140859
146,1.46,-139478,-139478
147,1.47,-138125,-138125
148,1.48,-136801,-136801
149,1.49,-135508,-135508
150,1.5,-134246,-134246
151,1.51,-133017,-133017
152,1.52,-131822,-131822
153,1.53,-130660,-130660
154,1.54,-129533,-129533
155,1.55,-128441,-128441
156,1.56,-127383,-127383
157,1.57,-126360,-126360
158,1.58,-125372,-125372
159,1.59,-124417,-124417
160,1.6,-123497,-123497
161,1.61,-122609,-122609
162,1.62,-121754,-121754
163,1.63,-120930,-120930
164,1.64,-120137,-120137
165,1.65,-119372,-119372
166,1.66,-118636,-118636
167,1.67,-117926,-117926
168,1.68,-117242,-117242
169,1.69,-116581,-116581
170,1.7,-115942,-115942
171,1.71,-115324,-115324
172,1.72,-114724,-114724
173,1.73,-114142,-114142
174,1.74,-113574,-113574
175,1.75,-113019,-113019
176,1.76,-112475,-112475
177,1.77,-111940,-111940
178,1.78,-111412,-111412
179,1.79,-110890,-110890
180,1.8,-110370,-110370
181,1.81,-109851,-109851
182,1.82,-109331,-109331
183,1.83,-108808,-108808
184,1.84,-108280,-108280
185,1.85,-107745,-107745
186,1.86,-107200,-107200
187,1.87,-106645,-106645
188,1.88,-106077,-106077
189,1.89,-105494,-105494
190,1.9,-104894,-104894
191,1.91,-104276,-104276
192,1.92,-103638,-103638
193,1.93,-102978,-102978
194,1.94,-102296,-102296
195,1.95,-101589,-101589
196,1.96,-100856,-100856
197,1.97,-100095,-100095
198,1.98,-99306.6,-99306.5
199,1.99,-98488.3,-98488.3
200,2,-97639.6,-97639.6
201,2.01,-96759.5,-96759.5
202,2.02,-95847,-95847
203,2.03,-94901.7,-94901.6
204,2.04,-93922.7,-93922.7
205,2.05,-92909.6,-92909.6
206,2.06,-91862.1,-91862.1
207,2.07,-90779.8,-90779.7
208,2.08,-89662.5,-89662.4
209,2.09,-88510.1,-88510.1
210,2.1,-87322.7,-87322.7
211,2.11,-86100.5,-86100.4
212,2.12,-84843.5,-84843.5
213,2.13,-83552.3,-83552.3
214,2.14,-82227.2,-82227.2
215,2.15,-80868.8,-80868.8
