Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
0.03                0.1745          9.9974
0.06                0.1744          9.9922
0.09                0.1743          9.9845
0.12                0.1741          9.9741
0.15                0.1739          9.9613
0.18                0.1736          9.9459
0.21                0.1733          9.9281
0.24                0.1729          9.9079
0.27                0.1725          9.8854
0.30                0.1721          9.8606
0.33                0.1716          9.8336
0.36                0.1711          9.8044
0.39                0.1706          9.7732
0.42                0.1700          9.7400
0.45                0.1694          9.7050
0.48                0.1687          9.6681
0.51                0.1681          9.6295
0.54                0.1674          9.5893
0.57                0.1666          9.5476
0.60                0.1659          9.5044
0.63                0.1651          9.4599
0.66                0.1643          9.4142
0.69                0.1635          9.3672
0.72                0.1627          9.3193
0.75                0.1618          9.2703
0.78                0.1609          9.2205
0.81                0.1600          9.1698
0.84                0.1591          9.1184
0.87                0.1582          9.0664
0.90                0.1573          9.0138
0.93                0.1564          8.9607
0.96                0.1555          8.9071
0.99                0.1545          8.8532
1.02                0.1536          8.7990
1.05                0.1526          8.7445
1.08                0.1517          8.6899
1.11                0.1507          8.6351
1.14                0.1498          8.5802
1.17                0.1488          8.5252
1.20                0.1478          8.4702
1.23                0.1469          8.4152
1.26                0.1459          8.3602
1.29                0.1450          8.3053
1.32                0.1440          8.2504
1.35                0.1430          8.1956
1.38                0.1421          8.1409
1.41                0.1411          8.0863
1.44                0.1402          8.0318
1.47                0.1392          7.9774
1.50                0.1383          7.9230
1.53                0.1373          7.8687
1.56                0.1364          7.8145
1.59                0.1354          7.7603
1.62                0.1345          7.7062
1.65                0.1336          7.6521
1.68                0.1326          7.5979
1.71                0.1317          7.5437
1.74                0.1307          7.4895
1.77                0.1298          7.4352
1.80                0.1288          7.3807
1.83                0.1279          7.3261
1.86                0.1269          7.2713
1.89                0.1259          7.2163
1.92                0.1250          7.1611
1.95                0.1240          7.1056
1.98                0.1230          7.0498
2.01                0.1221          6.9937
2.04                0.1211          6.9371
2.07                0.1201          6.8802
2.10                0.1191          6.8229
2.13                0.1181          6.7651
2.16                0.1171          6.7068
2.19                0.1160          6.6480
2.22                0.1150          6.5887
2.25                0.1139          6.5288
2.28                0.1129          6.4683
2.31                0.1118          6.4072
2.34                0.1107          6.3454
2.37                0.1097          6.2831
2.40                0.1086          6.2200
2.43                0.1074          6.1563
2.46                0.1063          6.0918
2.49                0.1052          6.0267
2.52                0.1040          5.9608
2.55                0.1029          5.8942
2.58                0.1017          5.8268
2.61                0.1005          5.7588
2.64                0.0993          5.6899
2.67                0.0981          5.6204
2.70                0.0969          5.5501
2.73                0.0956          5.4790
2.76                0.0944          5.4072
2.79                0.0931          5.3347
2.82                0.0918          5.2615
2.85                0.0905          5.1875
2.88                0.0892          5.1128
2.91                0.0879          5.0375
2.94                0.0866          4.9614
2.97                0.0853          4.8847
3.00                0.0839          4.8073
3.03                0.0825          4.7293
3.06                0.0812          4.6506
3.09                0.0798          4.5713
3.12                0.0784          4.4914
3.15                0.0770          4.4110
3.18                0.0756          4.3299
3.21                0.0741          4.2484
3.24                0.0727          4.1663
3.27                0.0713          4.0837
3.30                0.0698          4.0006
3.33                0.0684          3.9171
3.36                0.0669          3.8331
3.39                0.0654          3.7488
3.42                0.0639          3.6640
3.45                0.0625          3.5788
3.48                0.0610          3.4932
3.51                0.0595          3.4074
3.54                0.0580          3.3212
3.57                0.0565          3.2346
3.60                0.0549          3.1478
3.63                0.0534          3.0608
3.66                0.0519          2.9734
3.69                0.0504          2.8859
3.72                0.0488          2.7981
3.75                0.0473          2.7101
3.78                0.0458          2.6220
3.81                0.0442          2.5336
3.84                0.0427          2.4452
3.87                0.0411          2.3565
3.90                0.0396          2.2678
3.93                0.0380          2.1789
3.96                0.0365          2.0899
3.99                0.0349          2.0008
4.02                0.0334          1.9117
4.05                0.0318          1.8225
4.08                0.0303          1.7332
4.11                0.0287          1.6439
4.14                0.0271          1.5545
4.17                0.0256          1.4651
4.20                0.0240          1.3757
4.23                0.0224          1.2863
