Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
0.03                0.1745          9.9974
0.06                0.1744          9.9922
0.09                0.1743          9.9845
0.12                0.1741          9.9742
0.15                0.1739          9.9614
0.18                0.1736          9.9461
0.21                0.1733          9.9283
0.24                0.1729          9.9083
0.27                0.1725          9.8859
0.30                0.1721          9.8612
0.33                0.1716          9.8344
0.36                0.1711          9.8054
0.39                0.1706          9.7745
0.42                0.1700          9.7416
0.45                0.1694          9.7068
0.48                0.1688          9.6703
0.51                0.1681          9.6321
0.54                0.1674          9.5924
0.57                0.1667          9.5511
0.60                0.1660          9.5084
0.63                0.1652          9.4644
0.66                0.1644          9.4192
0.69                0.1636          9.3729
0.72                0.1628          9.3255
0.75                0.1619          9.2772
0.78                0.1611          9.2280
0.81                0.1602          9.1780
0.84                0.1593          9.1273
0.87                0.1584          9.0760
0.90                0.1575          9.0241
0.93                0.1566          8.9717
0.96                0.1557          8.9189
0.99                0.1547          8.8657
1.02                0.1538          8.8122
1.05                0.1529          8.7585
1.08                0.1519          8.7045
1.11                0.1510          8.6504
1.14                0.1500          8.5961
1.17                0.1491          8.5418
1.20                0.1481          8.4874
1.23                0.1472          8.4330
1.26                0.1462          8.3786
1.29                0.1453          8.3241
1.32                0.1443          8.2697
1.35                0.1434          8.2154
1.38                0.1424          8.1611
1.41                0.1415          8.1068
1.44                0.1405          8.0526
1.47                0.1396          7.9984
1.50                0.1387          7.9442
1.53                0.1377          7.8901
1.56                0.1368          7.8360
1.59                0.1358          7.7819
1.62                0.1349          7.7278
1.65                0.1339          7.6737
1.68                0.1330          7.6195
1.71                0.1320          7.5652
1.74                0.1311          7.5108
1.77                0.1301          7.4563
1.80                0.1292          7.4016
1.83                0.1282          7.3468
1.86                0.1273          7.2917
1.89                0.1263          7.2364
1.92                0.1253          7.1809
1.95                0.1244          7.1250
1.98                0.1234          7.0688
2.01                0.1224          7.0123
2.04                0.1214          6.9554
2.07                0.1204          6.8981
2.10                0.1194          6.8403
2.13                0.1184          6.7821
2.16                0.1173          6.7234
2.19                0.1163          6.6642
2.22                0.1153          6.6045
2.25                0.1142          6.5442
2.28                0.1132          6.4833
2.31                0.1121          6.4218
2.34                0.1110          6.3597
2.37                0.1099          6.2970
2.40                0.1088          6.2336
2.43                0.1077          6.1696
2.46                0.1065          6.1048
2.49                0.1054          6.0394
2.52                0.1043          5.9733
2.55                0.1031          5.9065
2.58                0.1019          5.8390
2.61                0.1007          5.7708
2.64                0.0995          5.7019
2.67                0.0983          5.6322
2.70                0.0971          5.5619
2.73                0.0958          5.4908
2.76                0.0946          5.4190
2.79                0.0933          5.3465
2.82                0.0920          5.2733
2.85                0.0907          5.1994
2.88                0.0894          5.1248
2.91                0.0881          5.0496
2.94                0.0868          4.9737
2.97                0.0855          4.8971
3.00                0.0841          4.8199
3.03                0.0828          4.7420
3.06                0.0814          4.6635
3.09                0.0800          4.5845
3.12                0.0786          4.5048
3.15                0.0772          4.4246
3.18                0.0758          4.3438
3.21                0.0744          4.2625
3.24                0.0730          4.1807
3.27                0.0715          4.0983
3.30                0.0701          4.0155
3.33                0.0686          3.9322
3.36                0.0672          3.8485
3.39                0.0657          3.7643
3.42                0.0642          3.6797
3.45                0.0627          3.5947
3.48                0.0613          3.5094
3.51                0.0598          3.4237
3.54                0.0583          3.3376
3.57                0.0567          3.2512
3.60                0.0552          3.1645
3.63                0.0537          3.0775
3.66                0.0522          2.9903
3.69                0.0507          2.9028
3.72                0.0491          2.8150
3.75                0.0476          2.7270
3.78                0.0461          2.6388
3.81                0.0445          2.5504
3.84                0.0430          2.4619
3.87                0.0414          2.3731
3.90                0.0399          2.2842
3.93                0.0383          2.1952
3.96                0.0368          2.1060
3.99                0.0352          2.0167
4.02                0.0336          1.9273
4.05                0.0321          1.8378
4.08                0.0305          1.7482
4.11                0.0289          1.6586
4.14                0.0274          1.5688
4.17                0.0258          1.4791
4.20                0.0242          1.3893
4.23                0.0227          1.2994
