Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
0.015             0.000001        0.000050
0.030             0.000003        0.000152
0.045             0.000005        0.000306
0.060             0.000009        0.000515
0.075             0.000014        0.000778
0.090             0.000019        0.001097
0.105             0.000026        0.001474
0.120             0.000033        0.001909
0.135             0.000042        0.002404
0.150             0.000052        0.002959
0.165             0.000062        0.003576
0.180             0.000074        0.004255
0.195             0.000087        0.004998
0.210             0.000101        0.005805
0.225             0.000117        0.006677
0.240             0.000133        0.007616
0.255             0.000150        0.008621
0.270             0.000169        0.009694
0.285             0.000189        0.010836
0.300             0.000210        0.012047
0.315             0.000233        0.013328
0.330             0.000256        0.014679
0.345             0.000281        0.016101
0.360             0.000307        0.017596
0.375             0.000334        0.019162
0.390             0.000363        0.020801
0.405             0.000393        0.022513
0.420             0.000424        0.024298
0.435             0.000457        0.026158
0.450             0.000490        0.028091
0.465             0.000525        0.030099
0.480             0.000562        0.032182
0.495             0.000599        0.034339
0.510             0.000638        0.036571
0.525             0.000679        0.038878
0.540             0.000720        0.041260
0.555             0.000763        0.043717
0.570             0.000807        0.046249
0.585             0.000853        0.048856
0.600             0.000900        0.051538
0.615             0.000948        0.054293
0.630             0.000997        0.057123
0.645             0.001048        0.060027
0.660             0.001100        0.063004
0.675             0.001153        0.066055
0.690             0.001207        0.069178
0.705             0.001263        0.072372
0.720             0.001320        0.075639
0.735             0.001378        0.078976
0.750             0.001438        0.082383
0.765             0.001499        0.085860
0.780             0.001560        0.089405
0.795             0.001623        0.093018
0.810             0.001688        0.096698
0.825             0.001753        0.100444
0.840             0.001820        0.104254
0.855             0.001887        0.108129
0.870             0.001956        0.112066
0.885             0.002026        0.116064
0.900             0.002097        0.120123
0.915             0.002168        0.124242
0.930             0.002241        0.128417
0.945             0.002315        0.132650
0.960             0.002390        0.136937
0.975             0.002466        0.141277
0.990             0.002542        0.145670
1.005             0.002620        0.150113
1.020             0.002698        0.154604
1.035             0.002778        0.159143
1.050             0.002858        0.163727
1.065             0.002938        0.168355
1.080             0.003020        0.173024
1.095             0.003102        0.177734
1.110             0.003185        0.182482
1.125             0.003268        0.187265
1.140             0.003352        0.192083
1.155             0.003437        0.196933
1.170             0.003522        0.201813
1.185             0.003608        0.206722
1.200             0.003694        0.211656
1.215             0.003781        0.216613
1.230             0.003868        0.221592
1.245             0.003955        0.226591
1.260             0.004042        0.231606
1.275             0.004130        0.236637
1.290             0.004218        0.241679
1.305             0.004306        0.246732
1.320             0.004395        0.251792
1.335             0.004483        0.256857
1.350             0.004571        0.261925
1.365             0.004660        0.266993
1.380             0.004748        0.272059
1.395             0.004837        0.277120
1.410             0.004925        0.282174
1.425             0.005013        0.287218
1.440             0.005101        0.292249
1.455             0.005188        0.297266
1.470             0.005276        0.302265
1.485             0.005362        0.307243
1.500             0.005449        0.312198
1.515             0.005535        0.317128
1.530             0.005620        0.322029
1.545             0.005705        0.326900
1.560             0.005790        0.331737
1.575             0.005874        0.336537
1.590             0.005957        0.341299
1.605             0.006039        0.346019
1.620             0.006121        0.350694
1.635             0.006202        0.355323
1.650             0.006281        0.359902
1.665             0.006360        0.364428
1.680             0.006439        0.368900
1.695             0.006516        0.373314
1.710             0.006592        0.377668
1.725             0.006666        0.381959
1.740             0.006740        0.386185
1.755             0.006813        0.390342
1.770             0.006884        0.394430
1.785             0.006954        0.398444
1.800             0.007023        0.402383
1.815             0.007090        0.406245
1.830             0.007156        0.410026
1.845             0.007221        0.413724
1.860             0.007284        0.417338
1.875             0.007345        0.420865
1.890             0.007405        0.424302
1.905             0.007464        0.427648
1.920             0.007521        0.430900
1.935             0.007576        0.434057
1.950             0.007629        0.437116
1.965             0.007681        0.440076
1.980             0.007731        0.442934
1.995             0.007779        0.445689
2.010             0.007825        0.448340
2.025             0.007869        0.450884
2.040             0.007912        0.453320
2.055             0.007953        0.455646
2.070             0.007991        0.457862
2.085             0.008028        0.459965
2.100             0.008063        0.461955
2.115             0.008095        0.463830
2.130             0.008126        0.465590
2.145             0.008155        0.467233
2.160             0.008181        0.468759
2.175             0.008206        0.470167
2.190             0.008228        0.471457
2.205             0.008249        0.472626
2.220             0.008267        0.473677
2.235             0.008283        0.474607
2.250             0.008298        0.475417
2.265             0.008310        0.476106
2.280             0.008320        0.476675
2.295             0.008327        0.477124
2.310             0.008333        0.477452
2.325             0.008337        0.477661
2.340             0.008338        0.477751
2.355             0.008338        0.477721
2.370             0.008335        0.477573
2.385             0.008331        0.477308
2.400             0.008324        0.476927
2.415             0.008315        0.476429
2.430             0.008305        0.475817
2.445             0.008292        0.475092
2.460             0.008277        0.474255
2.475             0.008261        0.473307
2.490             0.008242        0.472250
2.505             0.008222        0.471085
2.520             0.008200        0.469815
2.535             0.008176        0.468440
2.550             0.008150        0.466964
2.565             0.008123        0.465388
2.580             0.008093        0.463713
2.595             0.008062        0.461943
2.610             0.008030        0.460080
2.625             0.007996        0.458126
2.640             0.007960        0.456083
2.655             0.007923        0.453954
2.670             0.007884        0.451743
2.685             0.007844        0.449450
2.700             0.007803        0.447080
2.715             0.007760        0.444636
2.730             0.007716        0.442119
2.745             0.007671        0.439534
2.760             0.007625        0.436884
2.775             0.007578        0.434171
2.790             0.007529        0.431399
2.805             0.007480        0.428571
2.820             0.007430        0.425690
2.835             0.007379        0.422761
2.850             0.007327        0.419786
2.865             0.007274        0.416768
2.880             0.007221        0.413713
2.895             0.007167        0.410622
2.910             0.007112        0.407500
2.925             0.007057        0.404350
2.940             0.007002        0.401177
2.955             0.006946        0.397983
2.970             0.006890        0.394772
2.985             0.006834        0.391549
3.000             0.006777        0.388316
3.015             0.006721        0.385078
3.030             0.006664        0.381838
3.045             0.006608        0.378600
3.060             0.006551        0.375368
3.075             0.006495        0.372145
3.090             0.006439        0.368935
3.105             0.006383        0.365742
3.120             0.006328        0.362569
3.135             0.006273        0.359420
3.150             0.006219        0.356299
3.165             0.006165        0.353208
3.180             0.006111        0.350151
3.195             0.006059        0.347132
3.210             0.006007        0.344153
3.225             0.005955        0.341219
3.240             0.005905        0.338332
3.255             0.005855        0.335495
3.270             0.005807        0.332710
3.285             0.005759        0.329982
3.300             0.005713        0.327312
3.315             0.005667        0.324704
3.330             0.005623        0.322159
3.345             0.005579        0.319681
3.360             0.005537        0.317271
3.375             0.005497        0.314931
3.390             0.005457        0.312664
3.405             0.005419        0.310471
3.420             0.005382        0.308354
3.435             0.005346        0.306314
3.450             0.005312        0.304354
3.465             0.005279        0.302473
3.480             0.005248        0.300674
3.495             0.005218        0.298956
3.510             0.005189        0.297321
3.525             0.005162        0.295768
3.540             0.005136        0.294299
3.555             0.005112        0.292914
3.570             0.005090        0.291611
