Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
0.015             0.000001        0.000050
0.030             0.000003        0.000152
0.045             0.000005        0.000306
0.060             0.000009        0.000514
0.075             0.000014        0.000778
0.090             0.000019        0.001097
0.105             0.000026        0.001473
0.120             0.000033        0.001908
0.135             0.000042        0.002402
0.150             0.000052        0.002956
0.165             0.000062        0.003572
0.180             0.000074        0.004250
0.195             0.000087        0.004991
0.210             0.000101        0.005797
0.225             0.000116        0.006667
0.240             0.000133        0.007603
0.255             0.000150        0.008606
0.270             0.000169        0.009676
0.285             0.000189        0.010815
0.300             0.000210        0.012022
0.315             0.000232        0.013299
0.330             0.000256        0.014646
0.345             0.000280        0.016064
0.360             0.000306        0.017553
0.375             0.000334        0.019114
0.390             0.000362        0.020747
0.405             0.000392        0.022453
0.420             0.000423        0.024231
0.435             0.000455        0.026083
0.450             0.000489        0.028009
0.465             0.000524        0.030009
0.480             0.000560        0.032083
0.495             0.000597        0.034231
0.510             0.000636        0.036454
0.525             0.000676        0.038751
0.540             0.000718        0.041122
0.555             0.000760        0.043568
0.570             0.000804        0.046089
0.585             0.000850        0.048683
0.600             0.000896        0.051352
0.615             0.000944        0.054095
0.630             0.000993        0.056911
0.645             0.001044        0.059801
0.660             0.001095        0.062763
0.675             0.001148        0.065798
0.690             0.001203        0.068905
0.705             0.001258        0.072084
0.720             0.001315        0.075333
0.735             0.001373        0.078653
0.750             0.001432        0.082042
0.765             0.001492        0.085500
0.780             0.001554        0.089026
0.795             0.001617        0.092620
0.810             0.001680        0.096280
0.825             0.001745        0.100005
0.840             0.001812        0.103795
0.855             0.001879        0.107648
0.870             0.001947        0.111563
0.885             0.002017        0.115539
0.900             0.002087        0.119576
0.915             0.002158        0.123671
0.930             0.002231        0.127823
0.945             0.002304        0.132032
0.960             0.002379        0.136295
0.975             0.002454        0.140611
0.990             0.002530        0.144979
1.005             0.002607        0.149397
1.020             0.002685        0.153864
1.035             0.002764        0.158378
1.050             0.002844        0.162937
1.065             0.002924        0.167539
1.080             0.003005        0.172183
1.095             0.003087        0.176867
1.110             0.003169        0.181590
1.125             0.003252        0.186348
1.140             0.003336        0.191140
1.155             0.003420        0.195965
1.170             0.003505        0.200820
1.185             0.003590        0.205703
1.200             0.003676        0.210613
1.215             0.003762        0.215546
1.230             0.003848        0.220501
1.245             0.003935        0.225475
1.260             0.004022        0.230467
1.275             0.004110        0.235473
1.290             0.004197        0.240493
1.305             0.004285        0.245523
1.320             0.004373        0.250561
1.335             0.004461        0.255604
1.350             0.004549        0.260651
1.365             0.004637        0.265698
1.380             0.004725        0.270744
1.395             0.004813        0.275786
1.410             0.004901        0.280821
1.425             0.004989        0.285847
1.440             0.005076        0.290861
1.455             0.005164        0.295860
1.470             0.005251        0.300843
1.485             0.005337        0.305806
1.500             0.005424        0.310747
1.515             0.005509        0.315663
1.530             0.005595        0.320552
1.545             0.005679        0.325411
1.560             0.005764        0.330237
1.575             0.005847        0.335028
1.590             0.005930        0.339780
1.605             0.006013        0.344492
1.620             0.006094        0.349161
1.635             0.006175        0.353783
1.650             0.006255        0.358357
1.665             0.006333        0.362880
1.680             0.006411        0.367349
1.695             0.006488        0.371761
1.710             0.006564        0.376114
1.725             0.006639        0.380406
1.740             0.006713        0.384633
1.755             0.006786        0.388794
1.770             0.006857        0.392885
1.785             0.006927        0.396904
1.800             0.006996        0.400849
1.815             0.007064        0.404718
1.830             0.007130        0.408507
1.845             0.007195        0.412215
1.860             0.007258        0.415839
1.875             0.007320        0.419378
1.890             0.007380        0.422828
1.905             0.007438        0.426188
1.920             0.007495        0.429456
1.935             0.007551        0.432629
1.950             0.007604        0.435705
1.965             0.007656        0.438684
1.980             0.007707        0.441562
1.995             0.007755        0.444338
2.010             0.007802        0.447010
2.025             0.007847        0.449577
2.040             0.007890        0.452038
2.055             0.007931        0.454389
2.070             0.007970        0.456631
2.085             0.008007        0.458762
2.100             0.008042        0.460781
2.115             0.008075        0.462686
2.130             0.008107        0.464476
2.145             0.008136        0.466151
2.160             0.008163        0.467710
2.175             0.008188        0.469152
2.190             0.008211        0.470475
2.205             0.008232        0.471681
2.220             0.008251        0.472767
2.235             0.008268        0.473735
2.250             0.008283        0.474583
2.265             0.008296        0.475311
2.280             0.008306        0.475920
2.295             0.008315        0.476409
2.310             0.008321        0.476779
2.325             0.008326        0.477030
2.340             0.008328        0.477162
2.355             0.008328        0.477175
2.370             0.008326        0.477072
2.385             0.008323        0.476851
2.400             0.008317        0.476514
2.415             0.008309        0.476062
2.430             0.008299        0.475496
2.445             0.008287        0.474818
2.460             0.008273        0.474027
2.475             0.008258        0.473126
2.490             0.008240        0.472117
2.505             0.008221        0.471000
2.520             0.008199        0.469778
2.535             0.008176        0.468452
2.550             0.008151        0.467024
2.565             0.008124        0.465496
2.580             0.008096        0.463871
2.595             0.008066        0.462150
2.610             0.008034        0.460335
2.625             0.008001        0.458430
2.640             0.007966        0.456436
2.655             0.007930        0.454356
2.670             0.007892        0.452193
2.685             0.007853        0.449949
2.700             0.007813        0.447627
2.715             0.007771        0.445230
2.730             0.007728        0.442761
2.745             0.007683        0.440224
2.760             0.007638        0.437620
2.775             0.007591        0.434953
2.790             0.007544        0.432227
2.805             0.007495        0.429445
2.820             0.007446        0.426609
2.835             0.007395        0.423724
2.850             0.007344        0.420793
2.865             0.007292        0.417819
2.880             0.007240        0.414806
2.895             0.007187        0.411757
2.910             0.007133        0.408676
2.925             0.007078        0.405566
2.940             0.007024        0.402432
2.955             0.006969        0.399276
2.970             0.006913        0.396103
2.985             0.006858        0.392916
3.000             0.006802        0.389719
3.015             0.006746        0.386515
3.030             0.006690        0.383309
3.045             0.006634        0.380104
3.060             0.006578        0.376903
3.075             0.006522        0.373710
3.090             0.006467        0.370529
3.105             0.006412        0.367364
3.120             0.006357        0.364217
3.135             0.006302        0.361094
3.150             0.006248        0.357996
3.165             0.006195        0.354928
3.180             0.006142        0.351892
3.195             0.006089        0.348893
3.210             0.006038        0.345933
3.225             0.005987        0.343016
3.240             0.005937        0.340144
3.255             0.005887        0.337321
3.270             0.005839        0.334550
3.285             0.005792        0.331833
3.300             0.005745        0.329174
3.315             0.005700        0.326574
3.330             0.005656        0.324036
3.345             0.005612        0.321564
3.360             0.005570        0.319158
3.375             0.005530        0.316821
3.390             0.005490        0.314555
3.405             0.005452        0.312362
3.420             0.005415        0.310243
3.435             0.005379        0.308201
3.450             0.005345        0.306236
3.465             0.005312        0.304349
3.480             0.005280        0.302542
3.495             0.005250        0.300816
3.510             0.005222        0.299171
3.525             0.005194        0.297607
3.540             0.005168        0.296125
3.555             0.005144        0.294726
3.570             0.005121        0.293408
