Time (s)     Heave (m)
----------  ----------
0.015        -1.999764
0.030        -1.999295
0.045        -1.998596
0.060        -1.997669
0.075        -1.996519
0.090        -1.995148
0.105        -1.993559
0.120        -1.991757
0.135        -1.989744
0.150        -1.987524
0.165        -1.985101
0.180        -1.982479
0.195        -1.979661
0.210        -1.976652
0.225        -1.973456
0.240        -1.970076
0.255        -1.966517
0.270        -1.962784
0.285        -1.958879
0.300        -1.954809
0.315        -1.950577
0.330        -1.946187
0.345        -1.941645
0.360        -1.936955
0.375        -1.932122
0.390        -1.927150
0.405        -1.922045
0.420        -1.916810
0.435        -1.911452
0.450        -1.905974
0.465        -1.900383
0.480        -1.894682
0.495        -1.888877
0.510        -1.882972
0.525        -1.876974
0.540        -1.870887
0.555        -1.864716
0.570        -1.858467
0.585        -1.852144
0.600        -1.845753
0.615        -1.839298
0.630        -1.832786
0.645        -1.826221
0.660        -1.819608
0.675        -1.812953
0.690        -1.806261
0.705        -1.799537
0.720        -1.792787
0.735        -1.786014
0.750        -1.779225
0.765        -1.772425
0.780        -1.765619
0.795        -1.758812
0.810        -1.752008
0.825        -1.745214
0.840        -1.738434
0.855        -1.731673
0.870        -1.724936
0.885        -1.718227
0.900        -1.711553
0.915        -1.704917
0.930        -1.698324
0.945        -1.691780
0.960        -1.685288
0.975        -1.678854
0.990        -1.672482
1.005        -1.666177
1.020        -1.659942
1.035        -1.653783
1.050        -1.647704
1.065        -1.641709
1.080        -1.635802
1.095        -1.629988
1.110        -1.624270
1.125        -1.618653
1.140        -1.613140
1.155        -1.607735
1.170        -1.602443
1.185        -1.597266
1.200        -1.592209
1.215        -1.587275
1.230        -1.582467
1.245        -1.577789
1.260        -1.573244
1.275        -1.568835
1.290        -1.564566
1.305        -1.560439
1.320        -1.556457
1.335        -1.552623
1.350        -1.548940
1.365        -1.545411
1.380        -1.542038
1.395        -1.538823
1.410        -1.535769
1.425        -1.532877
1.440        -1.530151
1.455        -1.527593
1.470        -1.525203
1.485        -1.522984
1.500        -1.520939
1.515        -1.519067
1.530        -1.517371
1.545        -1.515853
1.560        -1.514513
1.575        -1.513353
1.590        -1.512374
1.605        -1.511577
1.620        -1.510963
1.635        -1.510533
1.650        -1.510286
1.665        -1.510225
1.680        -1.510349
1.695        -1.510659
1.710        -1.511155
1.725        -1.511837
1.740        -1.512705
1.755        -1.513760
1.770        -1.515000
1.785        -1.516427
1.800        -1.518038
1.815        -1.519835
1.830        -1.521816
1.845        -1.523981
1.860        -1.526329
1.875        -1.528859
1.890        -1.531571
1.905        -1.534462
1.920        -1.537533
1.935        -1.540781
1.950        -1.544206
1.965        -1.547805
1.980        -1.551578
1.995        -1.555523
2.010        -1.559638
2.025        -1.563922
2.040        -1.568372
2.055        -1.572986
2.070        -1.577763
2.085        -1.582700
2.100        -1.587795
2.115        -1.593045
2.130        -1.598450
2.145        -1.604005
2.160        -1.609708
2.175        -1.615557
2.190        -1.621550
2.205        -1.627682
2.220        -1.633952
2.235        -1.640357
2.250        -1.646893
2.265        -1.653558
2.280        -1.660349
2.295        -1.667262
2.310        -1.674294
2.325        -1.681442
2.340        -1.688702
2.355        -1.696072
2.370        -1.703548
2.385        -1.711126
2.400        -1.718802
2.415        -1.726574
2.430        -1.734438
2.445        -1.742389
2.460        -1.750425
2.475        -1.758541
2.490        -1.766734
2.505        -1.775000
2.520        -1.783335
2.535        -1.791736
2.550        -1.800197
2.565        -1.808717
2.580        -1.817289
2.595        -1.825912
2.610        -1.834580
2.625        -1.843289
2.640        -1.852036
2.655        -1.860817
2.670        -1.869627
2.685        -1.878463
2.700        -1.887320
2.715        -1.896194
2.730        -1.905082
2.745        -1.913979
2.760        -1.922881
2.775        -1.931785
2.790        -1.940685
2.805        -1.949579
2.820        -1.958462
2.835        -1.967330
2.850        -1.976179
2.865        -1.985004
2.880        -1.993803
2.895        -2.002572
2.910        -2.011305
2.925        -2.020000
2.940        -2.028652
2.955        -2.037258
2.970        -2.045813
2.985        -2.054315
3.000        -2.062758
3.015        -2.071141
3.030        -2.079458
3.045        -2.087706
3.060        -2.095882
3.075        -2.103982
3.090        -2.112002
3.105        -2.119940
3.120        -2.127791
3.135        -2.135552
3.150        -2.143220
3.165        -2.150791
3.180        -2.158263
3.195        -2.165633
3.210        -2.172896
3.225        -2.180050
3.240        -2.187093
3.255        -2.194020
3.270        -2.200829
3.285        -2.207518
3.300        -2.214084
3.315        -2.220523
3.330        -2.226834
3.345        -2.233013
3.360        -2.239059
3.375        -2.244968
3.390        -2.250739
3.405        -2.256369
3.420        -2.261856
3.435        -2.267197
3.450        -2.272392
3.465        -2.277437
3.480        -2.282331
3.495        -2.287072
3.510        -2.291658
3.525        -2.296087
3.540        -2.300359
3.555        -2.304471
3.570        -2.308422
3.585        -2.312210
3.600        -2.315834
3.615        -2.319294
3.630        -2.322587
3.645        -2.325714
3.660        -2.328672
3.675        -2.331461
3.690        -2.334080
3.705        -2.336528
3.720        -2.338806
3.735        -2.340911
3.750        -2.342844
3.765        -2.344605
3.780        -2.346192
3.795        -2.347607
3.810        -2.348847
3.825        -2.349915
3.840        -2.350808
3.855        -2.351529
3.870        -2.352076
3.885        -2.352450
3.900        -2.352651
3.915        -2.352680
3.930        -2.352538
3.945        -2.352224
3.960        -2.351739
3.975        -2.351085
3.990        -2.350261
4.005        -2.349269
4.020        -2.348110
4.035        -2.346785
4.050        -2.345295
4.065        -2.343640
4.080        -2.341823
4.095        -2.339845
4.110        -2.337706
4.125        -2.335409
4.140        -2.332955
4.155        -2.330345
4.170        -2.327581
4.185        -2.324666
4.200        -2.321600
4.215        -2.318385
4.230        -2.315025
4.245        -2.311519
4.260        -2.307872
4.275        -2.304083
4.290        -2.300157
4.305        -2.296095
4.320        -2.291899
4.335        -2.287571
4.350        -2.283115
4.365        -2.278532
4.380        -2.273825
4.395        -2.268996
4.410        -2.264049
4.425        -2.258985
4.440        -2.253808
4.455        -2.248520
4.470        -2.243123
4.485        -2.237622
4.500        -2.232018
4.515        -2.226314
4.530        -2.220514
4.545        -2.214620
4.560        -2.208635
4.575        -2.202563
4.590        -2.196406
4.605        -2.190168
4.620        -2.183851
4.635        -2.177460
4.650        -2.170996
4.665        -2.164463
4.680        -2.157865
4.695        -2.151204
4.710        -2.144484
4.725        -2.137709
4.740        -2.130880
4.755        -2.124003
4.770        -2.117079
4.785        -2.110113
4.800        -2.103108
4.815        -2.096066
4.830        -2.088992
4.845        -2.081889
4.860        -2.074760
4.875        -2.067608
4.890        -2.060438
4.905        -2.053251
4.920        -2.046052
4.935        -2.038844
4.950        -2.031630
4.965        -2.024414
4.980        -2.017199
4.995        -2.009988
5.010        -2.002784
5.025        -1.995591
5.040        -1.988413
5.055        -1.981252
5.070        -1.974111
5.085        -1.966994
5.100        -1.959905
5.115        -1.952845
5.130        -1.945819
5.145        -1.938830
5.160        -1.931880
5.175        -1.924973
5.190        -1.918111
5.205        -1.911299
5.220        -1.904538
5.235        -1.897832
5.250        -1.891183
5.265        -1.884595
5.280        -1.878071
5.295        -1.871612
5.310        -1.865223
5.325        -1.858905
5.340        -1.852662
5.355        -1.846496
5.370        -1.840409
