Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
--------    ------------------    -------------    --------------
     0.000         -2.00017409       -2.00017409        0.0000e+00
     0.015         -2.00052088       -2.00052088        0.0000e+00
     0.030         -2.00103883       -2.00103883        0.0000e+00
     0.045         -2.00172636       -2.00172636        0.0000e+00
     0.060         -2.00258175       -2.00258175        0.0000e+00
     0.075         -2.00360320       -2.00360320        0.0000e+00
     0.090         -2.00478879       -2.00478879        0.0000e+00
     0.105         -2.00613654       -2.00613654        0.0000e+00
     0.120         -2.00764436       -2.00764436        0.0000e+00
     0.135         -2.00931005       -2.00931005        0.0000e+00
     0.150         -2.01113135       -2.01113135        0.0000e+00
     0.165         -2.01310589       -2.01310589        0.0000e+00
     0.180         -2.01523121       -2.01523121        0.0000e+00
     0.195         -2.01750477       -2.01750477        0.0000e+00
     0.210         -2.01992396       -2.01992396        0.0000e+00
     0.225         -2.02248606       -2.02248606        0.0000e+00
     0.240         -2.02518828       -2.02518828        0.0000e+00
     0.255         -2.02802775       -2.02802775        0.0000e+00
     0.270         -2.03100153       -2.03100153        0.0000e+00
     0.285         -2.03410659       -2.03410659        0.0000e+00
     0.300         -2.03733983       -2.03733983        0.0000e+00
     0.315         -2.04069808       -2.04069808        0.0000e+00
     0.330         -2.04417811       -2.04417811        0.0000e+00
     0.345         -2.04777659       -2.04777659        0.0000e+00
     0.360         -2.05149017       -2.05149017        0.0000e+00
     0.375         -2.05531539       -2.05531539        0.0000e+00
     0.390         -2.05924875       -2.05924875        0.0000e+00
     0.405         -2.06328670       -2.06328670        0.0000e+00
     0.420         -2.06742561       -2.06742561        0.0000e+00
     0.435         -2.07166181       -2.07166181        0.0000e+00
     0.450         -2.07599157       -2.07599157        0.0000e+00
     0.465         -2.08041110       -2.08041110        0.0000e+00
     0.480         -2.08491658       -2.08491658        0.0000e+00
     0.495         -2.08950414       -2.08950414        0.0000e+00
     0.510         -2.09416984       -2.09416984        0.0000e+00
     0.525         -2.09890974       -2.09890974        0.0000e+00
     0.540         -2.10371982       -2.10371982        0.0000e+00
     0.555         -2.10859605       -2.10859605        0.0000e+00
     0.570         -2.11353436       -2.11353436        0.0000e+00
     0.585         -2.11853063       -2.11853063        0.0000e+00
     0.600         -2.12358073       -2.12358073        0.0000e+00
     0.615         -2.12868050       -2.12868050        0.0000e+00
     0.630         -2.13382574       -2.13382574        0.0000e+00
     0.645         -2.13901224       -2.13901224        0.0000e+00
     0.660         -2.14423577       -2.14423577        0.0000e+00
     0.675         -2.14949208       -2.14949208        0.0000e+00
     0.690         -2.15477690       -2.15477690        0.0000e+00
     0.705         -2.16008595       -2.16008595        0.0000e+00
     0.720         -2.16541494       -2.16541494        0.0000e+00
     0.735         -2.17075957       -2.17075957        0.0000e+00
     0.750         -2.17611554       -2.17611554        0.0000e+00
     0.765         -2.18147854       -2.18147854        0.0000e+00
     0.780         -2.18684426       -2.18684426        0.0000e+00
     0.795         -2.19220839       -2.19220839        0.0000e+00
     0.810         -2.19756664       -2.19756664        0.0000e+00
     0.825         -2.20291470       -2.20291470        0.0000e+00
     0.840         -2.20824829       -2.20824829        0.0000e+00
     0.855         -2.21356313       -2.21356313        0.0000e+00
     0.870         -2.21885497       -2.21885497        0.0000e+00
     0.885         -2.22411955       -2.22411955        0.0000e+00
     0.900         -2.22935265       -2.22935265        0.0000e+00
     0.915         -2.23455005       -2.23455005        0.0000e+00
     0.930         -2.23970759       -2.23970759        0.0000e+00
     0.945         -2.24482109       -2.24482109        0.0000e+00
     0.960         -2.24988643       -2.24988643        0.0000e+00
     0.975         -2.25489950       -2.25489950        0.0000e+00
     0.990         -2.25985625       -2.25985625        0.0000e+00
     1.005         -2.26475262       -2.26475262        0.0000e+00
     1.020         -2.26958464       -2.26958464        0.0000e+00
     1.035         -2.27434834       -2.27434834        0.0000e+00
     1.050         -2.27903979       -2.27903979        0.0000e+00
     1.065         -2.28365513       -2.28365513        0.0000e+00
     1.080         -2.28819053       -2.28819053        0.0000e+00
     1.095         -2.29264220       -2.29264220        0.0000e+00
     1.110         -2.29700641       -2.29700641        0.0000e+00
