# SEA-Stack Verification Data
# format: timeseries
# source: hydrochrono
# model: f3of_decay_multicode
# quantity: dt1_surge
# units: s, m
# columns: Time(s) SURGE(m)
2.000000e-02 5.000000e+00
4.000000e-02 4.999900e+00
6.000000e-02 4.999700e+00
8.000000e-02 4.999500e+00
1.000000e-01 4.999300e+00
1.200000e-01 4.999000e+00
1.400000e-01 4.998700e+00
1.600000e-01 4.998300e+00
1.800000e-01 4.997800e+00
2.000000e-01 4.997400e+00
2.200000e-01 4.996800e+00
2.400000e-01 4.996300e+00
2.600000e-01 4.995700e+00
2.800000e-01 4.995000e+00
3.000000e-01 4.994300e+00
3.200000e-01 4.993500e+00
3.400000e-01 4.992700e+00
3.600000e-01 4.991900e+00
3.800000e-01 4.991000e+00
4.000000e-01 4.990000e+00
4.200000e-01 4.989000e+00
4.400000e-01 4.988000e+00
4.600000e-01 4.986900e+00
4.800000e-01 4.985800e+00
5.000000e-01 4.984700e+00
5.200000e-01 4.983500e+00
5.400000e-01 4.982200e+00
5.600000e-01 4.980900e+00
5.800000e-01 4.979600e+00
6.000000e-01 4.978200e+00
6.200000e-01 4.976800e+00
6.400000e-01 4.975300e+00
6.600000e-01 4.973800e+00
6.800000e-01 4.972300e+00
7.000000e-01 4.970700e+00
7.200000e-01 4.969100e+00
7.400000e-01 4.967400e+00
7.600000e-01 4.965700e+00
7.800000e-01 4.964000e+00
8.000000e-01 4.962200e+00
8.200000e-01 4.960400e+00
8.400000e-01 4.958600e+00
8.600000e-01 4.956700e+00
8.800000e-01 4.954800e+00
9.000000e-01 4.952800e+00
9.200000e-01 4.950800e+00
9.400000e-01 4.948800e+00
9.600000e-01 4.946700e+00
9.800000e-01 4.944600e+00
1.000000e+00 4.942500e+00
1.020000e+00 4.940300e+00
1.040000e+00 4.938100e+00
1.060000e+00 4.935900e+00
1.080000e+00 4.933600e+00
1.100000e+00 4.931300e+00
1.120000e+00 4.929000e+00
1.140000e+00 4.926600e+00
1.160000e+00 4.924200e+00
1.180000e+00 4.921800e+00
1.200000e+00 4.919400e+00
1.220000e+00 4.916900e+00
1.240000e+00 4.914400e+00
1.260000e+00 4.911800e+00
1.280000e+00 4.909300e+00
1.300000e+00 4.906700e+00
1.320000e+00 4.904000e+00
1.340000e+00 4.901400e+00
1.360000e+00 4.898700e+00
1.380000e+00 4.896000e+00
1.400000e+00 4.893300e+00
1.420000e+00 4.890500e+00
1.440000e+00 4.887700e+00
1.460000e+00 4.884900e+00
1.480000e+00 4.882000e+00
1.500000e+00 4.879200e+00
1.520000e+00 4.876300e+00
1.540000e+00 4.873300e+00
1.560000e+00 4.870400e+00
1.580000e+00 4.867400e+00
1.600000e+00 4.864400e+00
1.620000e+00 4.861400e+00
1.640000e+00 4.858300e+00
1.660000e+00 4.855200e+00
1.680000e+00 4.852100e+00
1.700000e+00 4.849000e+00
1.720000e+00 4.845800e+00
1.740000e+00 4.842700e+00
1.760000e+00 4.839400e+00
1.780000e+00 4.836200e+00
1.800000e+00 4.833000e+00
1.820000e+00 4.829700e+00
1.840000e+00 4.826400e+00
1.860000e+00 4.823000e+00
1.880000e+00 4.819700e+00
1.900000e+00 4.816300e+00
1.920000e+00 4.812900e+00
1.940000e+00 4.809500e+00
1.960000e+00 4.806000e+00
1.980000e+00 4.802500e+00
2.000000e+00 4.799000e+00
2.020000e+00 4.795500e+00
2.040000e+00 4.791900e+00
2.060000e+00 4.788400e+00
2.080000e+00 4.784800e+00
2.100000e+00 4.781100e+00
2.120000e+00 4.777500e+00
2.140000e+00 4.773800e+00
2.160000e+00 4.770100e+00
2.180000e+00 4.766300e+00
2.200000e+00 4.762600e+00
2.220000e+00 4.758800e+00
2.240000e+00 4.755000e+00
2.260000e+00 4.751200e+00
2.280000e+00 4.747300e+00
2.300000e+00 4.743400e+00
2.320000e+00 4.739500e+00
2.340000e+00 4.735600e+00
2.360000e+00 4.731600e+00
2.380000e+00 4.727600e+00
2.400000e+00 4.723600e+00
2.420000e+00 4.719500e+00
2.440000e+00 4.715400e+00
2.460000e+00 4.711300e+00
2.480000e+00 4.707200e+00
2.500000e+00 4.703000e+00
2.520000e+00 4.698900e+00
2.540000e+00 4.694600e+00
2.560000e+00 4.690400e+00
