# SEA-Stack Verification Data
# format: timeseries
# source: inw
# model: f3of_decay_multicode
# quantity: dt1_heave
# units: s, m
# columns: Time(s) HEAVE(m)
0.000000e+00 -9.029850e+00
1.000200e-01 -9.029833e+00
2.000400e-01 -9.029786e+00
3.000600e-01 -9.029707e+00
4.000800e-01 -9.029598e+00
5.001000e-01 -9.029458e+00
6.001200e-01 -9.029289e+00
7.001400e-01 -9.029092e+00
8.001600e-01 -9.028867e+00
9.001800e-01 -9.028615e+00
1.000200e+00 -9.028338e+00
1.100220e+00 -9.028037e+00
1.200240e+00 -9.027713e+00
1.300260e+00 -9.027368e+00
1.400280e+00 -9.027003e+00
1.500300e+00 -9.026620e+00
1.600320e+00 -9.026221e+00
1.700340e+00 -9.025807e+00
1.800360e+00 -9.025380e+00
1.900380e+00 -9.024942e+00
2.000400e+00 -9.024495e+00
2.100420e+00 -9.024041e+00
2.200440e+00 -9.023583e+00
2.300460e+00 -9.023122e+00
2.400480e+00 -9.022661e+00
2.500500e+00 -9.022203e+00
2.600520e+00 -9.021749e+00
2.700540e+00 -9.021302e+00
2.800560e+00 -9.020865e+00
2.900580e+00 -9.020439e+00
3.000600e+00 -9.020027e+00
3.100620e+00 -9.019631e+00
3.200640e+00 -9.019253e+00
3.300660e+00 -9.018895e+00
3.400680e+00 -9.018558e+00
3.500700e+00 -9.018244e+00
3.600720e+00 -9.017955e+00
3.700740e+00 -9.017692e+00
3.800760e+00 -9.017456e+00
3.900780e+00 -9.017247e+00
4.000800e+00 -9.017067e+00
4.100820e+00 -9.016916e+00
4.200840e+00 -9.016796e+00
4.300860e+00 -9.016705e+00
4.400880e+00 -9.016645e+00
4.500900e+00 -9.016615e+00
4.600920e+00 -9.016615e+00
4.700940e+00 -9.016646e+00
4.800960e+00 -9.016707e+00
4.900980e+00 -9.016798e+00
5.001000e+00 -9.016917e+00
5.101020e+00 -9.017065e+00
5.201040e+00 -9.017241e+00
5.301060e+00 -9.017443e+00
5.401080e+00 -9.017672e+00
5.501100e+00 -9.017925e+00
5.601120e+00 -9.018202e+00
5.701140e+00 -9.018501e+00
5.801160e+00 -9.018821e+00
5.901180e+00 -9.019161e+00
6.001200e+00 -9.019519e+00
6.101220e+00 -9.019893e+00
6.201240e+00 -9.020282e+00
6.301260e+00 -9.020684e+00
6.401280e+00 -9.021097e+00
6.501300e+00 -9.021520e+00
6.601320e+00 -9.021949e+00
6.701340e+00 -9.022384e+00
6.801360e+00 -9.022822e+00
6.901380e+00 -9.023261e+00
7.001400e+00 -9.023699e+00
7.101420e+00 -9.024134e+00
7.201440e+00 -9.024564e+00
7.301460e+00 -9.024987e+00
7.401480e+00 -9.025401e+00
7.501500e+00 -9.025803e+00
7.601520e+00 -9.026193e+00
7.701540e+00 -9.026568e+00
7.801560e+00 -9.026926e+00
7.901580e+00 -9.027265e+00
8.001600e+00 -9.027584e+00
8.101620e+00 -9.027882e+00
8.201640e+00 -9.028157e+00
8.301660e+00 -9.028407e+00
8.401680e+00 -9.028632e+00
8.501700e+00 -9.028830e+00
8.601720e+00 -9.029000e+00
8.701740e+00 -9.029142e+00
8.801760e+00 -9.029254e+00
8.901780e+00 -9.029335e+00
9.001800e+00 -9.029386e+00
9.101820e+00 -9.029406e+00
9.201840e+00 -9.029394e+00
9.301860e+00 -9.029349e+00
9.401880e+00 -9.029273e+00
9.501900e+00 -9.029165e+00
9.601920e+00 -9.029025e+00
9.701940e+00 -9.028853e+00
9.801960e+00 -9.028649e+00
9.901980e+00 -9.028415e+00
1.000200e+01 -9.028152e+00
1.010202e+01 -9.027859e+00
1.020204e+01 -9.027539e+00
1.030206e+01 -9.027193e+00
1.040208e+01 -9.026821e+00
1.050210e+01 -9.026427e+00
1.060212e+01 -9.026012e+00
1.070214e+01 -9.025578e+00
1.080216e+01 -9.025127e+00
1.090218e+01 -9.024662e+00
1.100220e+01 -9.024185e+00
1.110222e+01 -9.023699e+00
1.120224e+01 -9.023206e+00
1.130226e+01 -9.022709e+00
1.140228e+01 -9.022212e+00
1.150230e+01 -9.021716e+00
1.160232e+01 -9.021224e+00
1.170234e+01 -9.020739e+00
1.180236e+01 -9.020265e+00
1.190238e+01 -9.019802e+00
1.200240e+01 -9.019355e+00
1.210242e+01 -9.018924e+00
1.220244e+01 -9.018514e+00
