# SEA-Stack Verification Data
# format: timeseries
# source: inw
# model: f3of_decay_multicode
# quantity: dt1_surge
# units: s, m
# columns: Time(s) SURGE(m)
0.000000e+00 5.000000e+00
1.000200e-01 4.999261e+00
2.000400e-01 4.997197e+00
3.000600e-01 4.993772e+00
4.000800e-01 4.989008e+00
5.001000e-01 4.982932e+00
6.001200e-01 4.975576e+00
7.001400e-01 4.966982e+00
8.001600e-01 4.957194e+00
9.001800e-01 4.946257e+00
1.000200e+00 4.934220e+00
1.100220e+00 4.921131e+00
1.200240e+00 4.907040e+00
1.300260e+00 4.891996e+00
1.400280e+00 4.876044e+00
1.500300e+00 4.859230e+00
1.600320e+00 4.841596e+00
1.700340e+00 4.823182e+00
1.800360e+00 4.804024e+00
1.900380e+00 4.784157e+00
2.000400e+00 4.763612e+00
2.100420e+00 4.742418e+00
2.200440e+00 4.720601e+00
2.300460e+00 4.698185e+00
2.400480e+00 4.675193e+00
2.500500e+00 4.651643e+00
2.600520e+00 4.627553e+00
2.700540e+00 4.602940e+00
2.800560e+00 4.577816e+00
2.900580e+00 4.552194e+00
3.000600e+00 4.526085e+00
3.100620e+00 4.499500e+00
3.200640e+00 4.472445e+00
3.300660e+00 4.444928e+00
3.400680e+00 4.416955e+00
3.500700e+00 4.388530e+00
3.600720e+00 4.359657e+00
3.700740e+00 4.330335e+00
3.800760e+00 4.300566e+00
3.900780e+00 4.270347e+00
4.000800e+00 4.239675e+00
4.100820e+00 4.208544e+00
4.200840e+00 4.176946e+00
4.300860e+00 4.144873e+00
4.400880e+00 4.112314e+00
4.500900e+00 4.079256e+00
4.600920e+00 4.045685e+00
4.700940e+00 4.011586e+00
4.800960e+00 3.976940e+00
4.900980e+00 3.941730e+00
5.001000e+00 3.905937e+00
5.101020e+00 3.869539e+00
5.201040e+00 3.832517e+00
5.301060e+00 3.794848e+00
5.401080e+00 3.756511e+00
5.501100e+00 3.717486e+00
5.601120e+00 3.677750e+00
5.701140e+00 3.637283e+00
5.801160e+00 3.596067e+00
5.901180e+00 3.554083e+00
6.001200e+00 3.511313e+00
6.101220e+00 3.467744e+00
6.201240e+00 3.423360e+00
6.301260e+00 3.378150e+00
6.401280e+00 3.332105e+00
6.501300e+00 3.285216e+00
6.601320e+00 3.237477e+00
6.701340e+00 3.188887e+00
6.801360e+00 3.139443e+00
