# SEA-Stack Verification Data
# format: rao
# source: wecsim
# model: oswec_rao_sweep
# quantity: pitch_rao
# units: rad/s, rad/m
# columns: Omega(rad/s) PitchRAO(rad/m)
1.570796e+00 9.641383e-02
1.047198e+00 1.792556e-01
7.853982e-01 2.847192e-01
6.283185e-01 4.179876e-01
5.235988e-01 6.079271e-01
4.487990e-01 9.251349e-01
3.926991e-01 1.593821e+00
3.490659e-01 4.104919e+00
3.396316e-01 6.347355e+00
3.306940e-01 1.249260e+01
3.263992e-01 1.707637e+01
3.222146e-01 1.567086e+01
3.141593e-01 8.278160e+00
2.991993e-01 3.710967e+00
2.855993e-01 2.399413e+00
2.617994e-01 1.423956e+00
